station_name|primary_station_id|report_id|observation_id|longitude|latitude|height_of_station_above_sea_level|report_timestamp|report_meaning_of_time_stamp|report_duration|observed_variable|units|observation_value|quality_flag|source_id|data_policy_licence|platform_type|report_type|value_significance
null|SHIP|ICOADS-302-RJEUHC|ICOADS-302-RJEUHC-SST|-61.7|47.2|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|288.05|1|2|0|2|0|2
null|SHIP|ICOADS-302-RJEUHD|ICOADS-302-RJEUHD-SST|-61.7|47.2|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|288.05|2|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUHM|ICOADS-302-RJEUHM-SST|-91.7|47.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|277.75|0|2|0|2|0|2
MESABI MINER (AWS)|WYQ4356|ICOADS-302-RJEUHN|ICOADS-302-RJEUHN-SST|-91.7|47.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|277.75|0|2|0|2|0|2
null|SHIP|ICOADS-302-RJEUI6|ICOADS-302-RJEUI6-SST|-71.3|46.8|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|281.95|0|2|0|2|0|2
null|SHIP|ICOADS-302-RJEUI7|ICOADS-302-RJEUI7-SST|-71.3|46.8|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|281.95|2|2|0|2|0|2
HIBERNIA PLATFORM|VEP717|ICOADS-302-RJEUIF|ICOADS-302-RJEUIF-SST|-48.7|46.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|283.35|0|2|0|2|0|2
SEAROSE PFSO|VOXS|ICOADS-302-RJEUIG|ICOADS-302-RJEUIG-SST|-48.0|46.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|279.95|0|2|0|2|0|2
null|CKR759|ICOADS-302-RJEUIS|ICOADS-302-RJEUIS-SST|-48.4|46.5|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|281.45|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUIV|ICOADS-302-RJEUIV-SST|142.4|46.3|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|287.15|0|2|0|2|0|2
